idDeputadoAutor,idProposicao,tipoAutor,proponente
210989.0,2481769,Deputado(a),0
161440.0,2481769,Deputado(a),0
220559.0,2481769,Deputado(a),1
220530.0,2481769,Deputado(a),1
220583.0,2481769,Deputado(a),1
220619.0,2481769,Deputado(a),0
220655.0,2481769,Deputado(a),0
220706.0,2481769,Deputado(a),0
74428.0,2481769,Deputado(a),0
73768.0,2481769,Deputado(a),0
74079.0,2481769,Deputado(a),0
73441.0,2481769,Deputado(a),0
74356.0,2481769,Deputado(a),0
74585.0,2481769,Deputado(a),1
73486.0,2481769,Deputado(a),0
73579.0,2481769,Deputado(a),1
73692.0,2481769,Deputado(a),0
74253.0,2481769,Deputado(a),0
74273.0,2481769,Deputado(a),0
74044.0,2481769,Deputado(a),0
136811.0,2481769,Deputado(a),0
141485.0,2481769,Deputado(a),0
141408.0,2481769,Deputado(a),0
141458.0,2481769,Deputado(a),0
141555.0,2481769,Deputado(a),0
150418.0,2481769,Deputado(a),0
160666.0,2481769,Deputado(a),0
143632.0,2481769,Deputado(a),0
160575.0,2481769,Deputado(a),1
160517.0,2481769,Deputado(a),0
160598.0,2481769,Deputado(a),0
160640.0,2481769,Deputado(a),0
160758.0,2481769,Deputado(a),0
160527.0,2481769,Deputado(a),0
160674.0,2481769,Deputado(a),0
160629.0,2481769,Deputado(a),0
160642.0,2481769,Deputado(a),0
160673.0,2481769,Deputado(a),0
160538.0,2481769,Deputado(a),0
160559.0,2481769,Deputado(a),1
160604.0,2481769,Deputado(a),0
160601.0,2481769,Deputado(a),0
166402.0,2481769,Deputado(a),1
178835.0,2481769,Deputado(a),0
178857.0,2481769,Deputado(a),0
178871.0,2481769,Deputado(a),0
178881.0,2481769,Deputado(a),0
178896.0,2481769,Deputado(a),0
178908.0,2481769,Deputado(a),1
178910.0,2481769,Deputado(a),0
178929.0,2481769,Deputado(a),0
178937.0,2481769,Deputado(a),0
178947.0,2481769,Deputado(a),0
178954.0,2481769,Deputado(a),0
178963.0,2481769,Deputado(a),0
178964.0,2481769,Deputado(a),0
178972.0,2481769,Deputado(a),0
92346.0,2481769,Deputado(a),0
178983.0,2481769,Deputado(a),0
179000.0,2481769,Deputado(a),0
179001.0,2481769,Deputado(a),0
204387.0,2481769,Deputado(a),0
191923.0,2481769,Deputado(a),1
204356.0,2481769,Deputado(a),0
204390.0,2481769,Deputado(a),1
198197.0,2481769,Deputado(a),0
98057.0,2481769,Deputado(a),0
161550.0,2481769,Deputado(a),0
204423.0,2481769,Deputado(a),1
204398.0,2481769,Deputado(a),1
204441.0,2481769,Deputado(a),0
204444.0,2481769,Deputado(a),0
133810.0,2481769,Deputado(a),1
204404.0,2481769,Deputado(a),0
204406.0,2481769,Deputado(a),0
156190.0,2481769,Deputado(a),0
204361.0,2481769,Deputado(a),0
204408.0,2481769,Deputado(a),0
204364.0,2481769,Deputado(a),1
204365.0,2481769,Deputado(a),0
204507.0,2481769,Deputado(a),1
204450.0,2481769,Deputado(a),0
204512.0,2481769,Deputado(a),0
204367.0,2481769,Deputado(a),0
204427.0,2481769,Deputado(a),0
204410.0,2481769,Deputado(a),0
204411.0,2481769,Deputado(a),1
204369.0,2481769,Deputado(a),0
204517.0,2481769,Deputado(a),0
204518.0,2481769,Deputado(a),1
204520.0,2481769,Deputado(a),0
204455.0,2481769,Deputado(a),1
204462.0,2481769,Deputado(a),0
204525.0,2481769,Deputado(a),0
204526.0,2481769,Deputado(a),1
204528.0,2481769,Deputado(a),0
204372.0,2481769,Deputado(a),0
204567.0,2481769,Deputado(a),1
205550.0,2481769,Deputado(a),0
204374.0,2481769,Deputado(a),0
204536.0,2481769,Deputado(a),1
204472.0,2481769,Deputado(a),1
204473.0,2481769,Deputado(a),1
204416.0,2481769,Deputado(a),0
121948.0,2481769,Deputado(a),0
204540.0,2481769,Deputado(a),0
204572.0,2481769,Deputado(a),0
204378.0,2481769,Deputado(a),1
204379.0,2481769,Deputado(a),0
204476.0,2481769,Deputado(a),0
204574.0,2481769,Deputado(a),1
204479.0,2481769,Deputado(a),1
204388.0,2481769,Deputado(a),0
188097.0,2481769,Deputado(a),0
221328.0,2481769,Deputado(a),0
221339.0,2481769,Deputado(a),1
223128.0,2481769,Deputado(a),0
224333.0,2481769,Deputado(a),0
218086.0,2481769,Deputado(a),0
226179.0,2481769,Deputado(a),0
204422.0,2481769,Deputado(a),0
204449.0,2481769,Deputado(a),0
204553.0,2481768,Deputado(a),1
220547.0,2481765,Deputado(a),1
204528.0,2481764,Deputado(a),1
220547.0,2481763,Deputado(a),1
220547.0,2481762,Deputado(a),1
178989.0,2481761,Deputado(a),1
220547.0,2481760,Deputado(a),1
220547.0,2481759,Deputado(a),1
204541.0,2481758,Deputado(a),1
220632.0,2481757,Deputado(a),1
220547.0,2481756,Deputado(a),1
74856.0,2481755,Deputado(a),1
178989.0,2481754,Deputado(a),1
