uri,nome,siglaSexo,dataNascimento,ufNascimento
https://dadosabertos.camara.leg.br/api/v2/deputados/178975,Baleia Rossi,M,1972-06-09,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220605,Bandeira de Mello,M,1953-03-22,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/220612,Bebeto,M,1963-07-31,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/73701,Benedita da Silva,F,1942-04-26,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/109429,Benes Leocádio,M,1966-04-22,RN
https://dadosabertos.camara.leg.br/api/v2/deputados/204358,Beto Pereira,M,1977-11-14,MS
https://dadosabertos.camara.leg.br/api/v2/deputados/220698,Beto Preto,M,1968-02-17,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/220683,Beto Richa,M,1965-07-29,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/204374,Bia Kicis,F,1961-09-19,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/204388,Bibo Nunes,M,1957-01-09,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/160538,Bohn Gass,M,1962-02-05,RS
https://dadosabertos.camara.leg.br/api/v2/deputados/74052,Bosco Costa,M,1950-09-28,SE
https://dadosabertos.camara.leg.br/api/v2/deputados/210989,Bruno Farias,M,1982-10-07,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/220635,Bruno Ganem,M,1986-09-15,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/220574,Cabo Gilberto Silva,M,1981-04-01,PB
https://dadosabertos.camara.leg.br/api/v2/deputados/143942,Caio Vianna,M,1988-12-08,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/220548,Camila Jara,F,1995-02-10,MS
https://dadosabertos.camara.leg.br/api/v2/deputados/204572,Capitão Alberto Neto,M,1982-05-05,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/220690,Capitão Alden,M,1980-04-19,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/178829,Capitão Augusto,M,1966-10-04,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/229069,Capitão Samuel,M,1970-02-03,SE
https://dadosabertos.camara.leg.br/api/v2/deputados/229106,Carla Ayres,F,1988-03-15,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/213762,Carla Dickson,F,1976-07-02,PA
https://dadosabertos.camara.leg.br/api/v2/deputados/204507,Carla Zambelli,F,1980-07-03,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/204361,Carlos Chiodini,M,1982-03-08,SC
https://dadosabertos.camara.leg.br/api/v2/deputados/178962,Carlos Gomes,M,1972-06-13,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/178993,Carlos Henrique Gaguim,M,1961-04-21,GO
https://dadosabertos.camara.leg.br/api/v2/deputados/204460,Carlos Jordy,M,1982-02-08,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/74262,Carlos Sampaio,M,1963-03-31,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/204426,Carlos Veras,M,1981-08-10,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,M,1959-06-08,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/164360,Carmen Zanotto,F,1962-10-06,SC
https://dadosabertos.camara.leg.br/api/v2/deputados/220704,Carol Dartora,F,1983-05-01,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/204369,Caroline de Toni,F,1986-09-01,SC
https://dadosabertos.camara.leg.br/api/v2/deputados/220699,Castro Neto,M,1974-04-23,PI
https://dadosabertos.camara.leg.br/api/v2/deputados/206018,Célia Xakriabá,F,1989-05-10,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/178876,Célio Silveira,M,1959-09-19,GO
https://dadosabertos.camara.leg.br/api/v2/deputados/204488,Célio Studart,M,1987-06-19,CE
